I D0NT CARE,&
CreaturePhil,%
jason588,@
Champion Judge,%
firebreathingyoshi,%
Dark51,%
ThunderSwirl,@
Indeterminability,+
Chaarizard,+
maniest,+
BlakJack,+
Elite Four Slash,+
mikelew92,@
Katosen,@
IcyFlare,@
Redplay,%
Brakisu,@
Judgmental,~
Cyberwolf16,@
Frontierscrafty,%
â˜¬Elite Fourâ˜¬ Flame,+
Thaumic Scrafty,~
spacemorgzilla,~
Darkrai Nation,%
emelio,@
thebasicgamer,~
sr334,&
DLâ—ŠGL Grace,+
TheJollyInfernape,~
DeoxysHugger,%
Light Bolt,%
BeforeMath,~
Alpha Yodo77,+
Fr33kickz,&
GL Alex10code,+
mikeylew92,@
Said Ent Chins,@
Judge,@
